"date"	"skewSurgePOT"
"1"	1954-05-07	0.656
"2"	1954-05-07	0.5705
"3"	1955-05-07	0.5783
"4"	1957-05-07	0.7738
"5"	1958-05-07	0.6178
"6"	1959-05-07	0.6395
"7"	1959-05-07	0.5288
"8"	1960-05-07	0.5221
"9"	1960-05-07	0.6281
"10"	1960-05-07	0.5675
"11"	1963-05-07	0.6107
"12"	1963-05-07	0.5673
"13"	1966-05-07	0.7919
"14"	1967-05-07	0.5262
"15"	1967-05-07	0.5398
"16"	1968-05-07	0.5231
"17"	1969-05-07	0.7186
"18"	1969-05-07	1.0793
"19"	1970-05-07	0.5516
"20"	1970-05-07	0.8885
"21"	1971-05-07	0.6518
"22"	1971-05-07	0.5027
"23"	1973-05-07	0.5317
"24"	1974-05-07	0.5908
"25"	1976-05-07	0.5981
"26"	1977-05-07	0.5809
"27"	1978-05-07	0.6668
"28"	1978-05-07	0.5923
"29"	1978-05-07	0.5347
"30"	1979-05-07	0.6164
"31"	1981-05-07	0.5428
"32"	1981-05-07	0.5314
"33"	1981-05-07	0.6868
"34"	1983-05-07	0.5863
"35"	1983-05-07	0.5149
"36"	1983-05-07	0.615
"37"	1984-05-07	0.5684
"38"	1984-05-07	0.5364
"39"	1984-05-07	0.5439
"40"	1987-05-07	1.411
"41"	1989-05-07	0.6125
"42"	1989-05-07	0.7867
"43"	1990-05-07	0.6256
"44"	1991-05-07	0.5007
"45"	1991-05-07	0.5096
"46"	1992-05-07	0.5391
"47"	1992-05-07	0.5848
"48"	1993-05-07	0.594
"49"	1994-05-07	0.5261
"50"	1994-05-07	0.5149
"51"	1994-05-07	0.5083
"52"	1995-05-07	0.5211
"53"	1995-05-07	0.5765
"54"	1996-05-07	0.6563
"55"	1996-05-07	0.5038
"56"	1998-05-07	0.5939
"57"	1998-05-07	0.5993
"58"	1998-05-07	0.5143
"59"	2000-05-07	0.6657
"60"	2001-05-07	0.726
"61"	2001-05-07	0.5765
"62"	2002-05-07	0.5642
"63"	2002-05-07	0.5451
"64"	2003-05-07	0.557
"65"	2003-05-07	0.5107
"66"	2004-05-07	0.6845
"67"	2005-05-07	0.5019
"68"	2006-05-07	0.5161
"69"	2006-05-07	0.5547
"70"	2006-05-07	0.5606
"71"	2008-05-07	0.5259
"72"	2008-05-07	0.5615
"73"	2009-05-07	0.5399
"74"	2010-05-07	0.6645
"75"	2012-05-07	0.5393
"76"	2013-05-07	0.6141
"77"	2014-05-07	0.8916
"78"	2016-05-07	0.6371
"79"	2016-05-07	0.7091
"80"	2016-05-07	0.5275
"81"	2017-05-07	0.502
