"date"	"skewSurgePOT"
"1"	1961-05-07	0.9405
"2"	1961-05-07	0.8012
"3"	1962-05-07	1.0405
"4"	1963-05-07	0.8026
"5"	1965-05-07	0.8985
"6"	1966-05-07	0.8434
"7"	1968-05-07	0.7974
"8"	1968-05-07	0.8041
"9"	1969-05-07	0.8198
"10"	1971-05-07	1.0344
"11"	1973-05-07	0.9116
"12"	1973-05-07	0.8191
"13"	1973-05-07	0.8326
"14"	1973-05-07	0.8563
"15"	1973-05-07	1.0807
"16"	1976-05-07	0.896
"17"	1977-05-07	0.859
"18"	1978-05-07	1.0515
"19"	1979-05-07	0.7631
"20"	1980-05-07	0.7538
"21"	1981-05-07	0.8177
"22"	1981-05-07	0.7798
"23"	1982-05-07	0.7462
"24"	1983-05-07	0.7815
"25"	1983-05-07	0.9494
"26"	1983-05-07	1.3011
"27"	1983-05-07	0.7486
"28"	1984-05-07	0.7757
"29"	1984-05-07	0.9481
"30"	1985-05-07	1.038
"31"	1985-05-07	0.898
"32"	1986-05-07	0.8681
"33"	1986-05-07	0.8628
"34"	1986-05-07	0.7505
"35"	1986-05-07	0.8337
"36"	1988-05-07	0.7456
"37"	1999-05-07	0.8061
"38"	1999-05-07	0.7597
"39"	2000-05-07	0.8615
"40"	2001-05-07	0.7879
"41"	2001-05-07	0.7716
"42"	2002-05-07	1.0283
"43"	2003-05-07	0.7438
"44"	2004-05-07	0.7586
"45"	2005-05-07	0.7657
"46"	2006-05-07	1.1117
"47"	2007-05-07	0.7841
"48"	2007-05-07	0.923
"49"	2007-05-07	1.0095
"50"	2008-05-07	0.8491
"51"	2008-05-07	0.8171
"52"	2009-05-07	0.8743
"53"	2011-05-07	0.92
"54"	2012-05-07	0.8634
"55"	2012-05-07	1.0705
"56"	2013-05-07	0.7581
"57"	2013-05-07	1.2116
"58"	2014-05-07	0.8392
