"date"	"skewSurgePOT"
"1"	1943-05-07	0.9387
"2"	1943-05-07	0.7619
"3"	1967-05-07	0.8221
"4"	1969-05-07	0.7597
"5"	1969-05-07	0.7154
"6"	1973-05-07	0.685
"7"	1974-05-07	0.6508
"8"	1976-05-07	0.7229
"9"	1976-05-07	0.6654
"10"	1977-05-07	0.6541
"11"	1978-05-07	0.6789
"12"	1978-05-07	0.6664
"13"	1978-05-07	0.6397
"14"	1979-05-07	0.6518
"15"	1979-05-07	0.718
"16"	1979-05-07	0.7277
"17"	1979-05-07	0.6996
"18"	1997-05-07	0.6482
"19"	1998-05-07	0.6373
"20"	1998-05-07	0.6477
"21"	1998-05-07	0.7141
"22"	1999-05-07	0.6509
"23"	1999-05-07	0.6685
"24"	2000-05-07	0.6378
"25"	2000-05-07	0.6389
"26"	2001-05-07	0.6228
"27"	2002-05-07	0.8903
"28"	2006-05-07	0.6363
"29"	2006-05-07	0.9052
"30"	2009-05-07	0.7602
"31"	2010-05-07	1.5366
"32"	2011-05-07	0.9656
"33"	2014-05-07	0.7147
"34"	2016-05-07	0.6909
