"date"	"skewSurgePOT"
"1"	1965-05-07	0.7471
"2"	1965-05-07	0.8139
"3"	1966-05-07	0.7951
"4"	1966-05-07	0.9534
"5"	1967-05-07	0.683
"6"	1967-05-07	0.8956
"7"	1969-05-07	0.7918
"8"	1969-05-07	0.6842
"9"	1970-05-07	0.6739
"10"	1974-05-07	0.6718
"11"	1977-05-07	0.6614
"12"	1978-05-07	0.8004
"13"	1978-05-07	0.7739
"14"	1978-05-07	0.8122
"15"	1979-05-07	0.7505
"16"	1979-05-07	0.7847
"17"	1981-05-07	0.7176
"18"	1981-05-07	0.8094
"19"	1983-05-07	0.8877
"20"	1984-05-07	0.6842
"21"	1984-05-07	0.6988
"22"	1985-05-07	0.6876
"23"	1988-05-07	0.6918
"24"	1989-05-07	0.672
"25"	1989-05-07	0.9114
"26"	1992-05-07	0.7374
"27"	1993-05-07	0.8484
"28"	1994-05-07	0.6832
"29"	1995-05-07	0.7557
"30"	1995-05-07	0.7107
"31"	1996-05-07	0.6741
"32"	1997-05-07	0.738
"33"	1998-05-07	0.8613
"34"	1999-05-07	0.9485
"35"	2000-05-07	0.6946
"36"	2000-05-07	0.8269
"37"	2001-05-07	0.9242
"38"	2001-05-07	0.6623
"39"	2001-05-07	0.7262
"40"	2002-05-07	1.0472
"41"	2003-05-07	0.6696
"42"	2004-05-07	0.7831
"43"	2004-05-07	0.7298
"44"	2006-05-07	0.6902
"45"	2006-05-07	0.7288
"46"	2006-05-07	0.8564
"47"	2008-05-07	0.6953
"48"	2010-05-07	1.0421
"49"	2011-05-07	0.6719
"50"	2011-05-07	0.7881
"51"	2013-05-07	0.6944
"52"	2014-05-07	0.67
"53"	2014-05-07	0.828
