"T" "IC_low" "IC_up" "x_ML"
"1" 1.1 0.525114762891005 0.539619206823972 0.530954818071545
"2" 1.2 0.531659970372335 0.549605688558806 0.538905913599989
"3" 1.3 0.53778751829344 0.558849650658418 0.546312065206252
"4" 1.4 0.543555150799715 0.567468613981009 0.553248512324686
"5" 1.5 0.548993965947442 0.575532386651803 0.55977559684578
"6" 1.6 0.554151382931275 0.583128212206693 0.565942490351869
"7" 1.7 0.559042092296356 0.590284195397138 0.571789817932529
"8" 1.8 0.563715076331133 0.597060463802875 0.57735155003625
"9" 1.9 0.568183264706545 0.60352870398368 0.582656395321727
"10" 2 0.572450265727383 0.609693944770687 0.587728845111783
"11" 3 0.607540502212146 0.659587370760339 0.629223900415556
"12" 4 0.633754665780532 0.696726765745191 0.66022756783919
"13" 5 0.654688047648255 0.726782870760681 0.685210645524968
"14" 6 0.672205357288777 0.752275816084879 0.706250802138157
"15" 7 0.687308830060353 0.774585871522169 0.724492699297439
"16" 8 0.700495580849719 0.794477399079154 0.740637767995157
"17" 9 0.712231111796424 0.812569725722326 0.755148589739631
"18" 10 0.722811498252907 0.829250100661171 0.768347142748957
"19" 11 0.732476260681937 0.844776684674001 0.780467014531456
"20" 12 0.74131560895301 0.859339397542838 0.791683322214363
"21" 13 0.749510809929218 0.872922168799256 0.802130898257804
"22" 14 0.757121387080494 0.88585610772362 0.811915880066694
"23" 15 0.764207785524919 0.898108383087401 0.821123389648113
"24" 16 0.770915569692782 0.909758163378021 0.829822791480799
"25" 17 0.777179252244036 0.920797492664196 0.838071393831607
"26" 18 0.78309071282075 0.931434344744943 0.845917117518622
"27" 19 0.788705115126548 0.941640768748553 0.853400460753435
"28" 20 0.79406385555825 0.951506961225012 0.860555972512517
"29" 21 0.799180061884051 0.960999782321875 0.867413375475443
"30" 22 0.804058908300498 0.970267415635853 0.873998434382635
"31" 23 0.808776080694397 0.97898731860414 0.880333636331329
"32" 24 0.813286171698465 0.987738992920372 0.886438730043906
"33" 25 0.817527640806136 0.996163087107268 0.892331157931429
"34" 26 0.821647613372899 1.00427554489068 0.898026405649675
"35" 27 0.825653503884675 1.01224406320525 0.903538287434291
"36" 28 0.829480225092 1.01993763851131 0.908879180928678
"37" 29 0.83319962746323 1.02760952261476 0.914060221909609
