"T" "IC_low" "IC_up" "x_ML"
"1" 1.1 0.771699710877044 0.791852213355394 0.779918024762962
"2" 1.2 0.781024835747849 0.806813161796302 0.791566386818242
"3" 1.3 0.789678460452829 0.820599980280299 0.80234555296676
"4" 1.4 0.797765320198454 0.833388347936377 0.812380245074888
"5" 1.5 0.805340156170913 0.845309402752773 0.821769881660762
"6" 1.6 0.812477218486239 0.856478837684911 0.830595020353559
"7" 1.7 0.81920713470147 0.866967980156646 0.838921867159787
"8" 1.8 0.825588803542837 0.876899255851377 0.846805510469783
"9" 1.9 0.83165979192735 0.886290772286576 0.854292290194953
"10" 2 0.83743786714092 0.895220673279957 0.861421565995702
"11" 3 0.883834012008276 0.966490990145217 0.918700211225782
"12" 4 0.917421763947494 1.01812266178199 0.960351416465773
"13" 5 0.943718097393933 1.05899794541285 0.99324938554837
"14" 6 0.96536352719673 1.09291720404139 1.020518459767
"15" 7 0.983763617811139 1.12235847548993 1.04385103915793
"16" 8 0.999668438373916 1.14816124486956 1.06427001602599
"17" 9 1.01370260288534 1.17127512741596 1.08244216570333
"18" 10 1.02630037518428 1.19231629138424 1.09882693549159
"19" 11 1.03772080423309 1.21159679966872 1.11375468540743
"20" 12 1.04805330322769 1.22946857940726 1.12747111104263
"21" 13 1.05753668886819 1.24631915200202 1.14016402273133
"22" 14 1.06643231192439 1.26189127449392 1.15198028560331
"23" 15 1.07474917860663 1.27646234028719 1.16303696905464
"24" 16 1.08246441732003 1.29034862289315 1.17342893300851
"25" 17 1.08968681993553 1.30358158705191 1.18323413776187
"26" 18 1.09649429947202 1.31627138878919 1.19251745216117
"27" 19 1.10294260402938 1.32837732371426 1.2013334433589
"28" 20 1.10902579841434 1.33996779875644 1.20972845897481
"29" 21 1.11481908169103 1.35110010322729 1.21774220702638
"30" 22 1.12032989243483 1.36178523514597 1.2254089725758
"31" 23 1.12562127318921 1.37203869512313 1.23275856711096
"32" 24 1.1306941636458 1.38194906360497 1.23981707828109
"33" 25 1.13553583171223 1.39166876566412 1.24660746842876
"34" 26 1.14019124175995 1.4009683670256 1.25315005716222
"35" 27 1.14469721181308 1.40996905577181 1.25946291397309
"36" 28 1.14899164899038 1.41876334210353 1.26556218033695
"37" 29 1.15315718198333 1.42731789751025 1.27146233599759
"38" 30 1.15715902235571 1.43567764315175 1.27717642067576
"39" 31 1.1610462753339 1.44376071945548 1.28271621988403
"40" 32 1.16477591513687 1.4515394000503 1.28809242161617
"41" 33 1.16839788670824 1.45919237692485 1.29331474923376
"42" 34 1.17193157911565 1.46682425744104 1.29839207476969
"43" 35 1.17535466464868 1.47396484077953 1.3033325160196
"44" 36 1.1786653740727 1.48099286368511 1.30814352013292
"45" 37 1.18190356493523 1.4878496415876 1.31283193589977
"46" 38 1.18502551733229 1.49457613649706 1.31740407652365
"47" 39 1.18811060211463 1.50128256414959 1.32186577434702
"48" 40 1.1910458919629 1.50780878647881 1.32622242873934
"49" 41 1.19399045763023 1.51428120986607 1.33047904814973
"50" 42 1.19683187380659 1.52050313215621 1.33464028715912
"51" 43 1.19961764483148 1.52660159951461 1.33871047923028
"52" 44 1.20235543495957 1.53281893944823 1.3426936657427
"53" 45 1.20500734789395 1.53883023593778 1.34659362180803
"54" 46 1.20757455579404 1.54472568932917 1.35041387928594
"55" 47 1.21016460600102 1.55035293966011 1.35415774735785
"56" 48 1.21263692482363 1.55583170683155 1.35782833096351
"57" 49 1.21506592635174 1.56130130265561 1.36142854736221
"58" 50 1.21745959275795 1.56667229977734 1.36496114104319
"59" 51 1.21976709417652 1.57205517792759 1.36842869717947
"60" 52 1.2220632728425 1.5775393198626 1.37183365379286
"61" 53 1.22427627227877 1.58286215609116 1.3751783127758
"62" 54 1.22646679930919 1.58799342568462 1.3784648498969
"63" 55 1.22859460573355 1.59312541415889 1.38169532390081
"64" 56 1.23072353302842 1.5980463438202 1.38487168479926
"65" 57 1.23277484103487 1.60288877235441 1.38799578143819
"66" 58 1.2347747500983 1.60759004604458 1.39106936841576
"67" 59 1.23679514008043 1.6124367113686 1.39409411241691
"68" 60 1.23874488316308 1.61712000527917 1.39707159802293
"69" 61 1.24065260334583 1.62169176378754 1.40000333304717
"70" 62 1.24258432537443 1.62628859566976 1.40289075344298
"71" 63 1.24444485293543 1.63093306575855 1.40573522782422
"72" 64 1.24633341497798 1.63539293947641 1.40853806163462
"73" 65 1.24817022376138 1.63988778262224 1.41130050099837
"74" 66 1.2499566338421 1.64422167152293 1.4140237362807
"75" 67 1.2517487491988 1.64853360167255 1.41670890538437
"76" 68 1.25345559602574 1.65284345065099 1.41935709680533
"77" 69 1.25512883438529 1.65707853569942 1.42196935246835
"78" 70 1.25682560113654 1.66101532296198 1.42454667036136
