"T" "IC_low" "IC_up" "x_ML"
"1" 1.1 0.678502504068976 0.690966570615293 0.683657166630009
"2" 1.2 0.685765887208614 0.702894422170746 0.692858830839783
"3" 1.3 0.692526007266733 0.713874323092751 0.701376598295269
"4" 1.4 0.698843693184255 0.724062398856427 0.709308421324152
"5" 1.5 0.704775442411404 0.733570496875354 0.716732403145831
"6" 1.6 0.710367909353463 0.742477435317469 0.723711847357379
"7" 1.7 0.715649600466492 0.750849474954486 0.730298793208646
"8" 1.8 0.720652493749098 0.758750225823052 0.736536551732702
"9" 1.9 0.725423008979449 0.766247867451927 0.742461564093327
"10" 2 0.729962880364457 0.773371097693345 0.748104788898192
"11" 3 0.766553349281611 0.830338310759259 0.793483969453785
"12" 4 0.793118697933329 0.871685103851715 0.82652608446783
"13" 5 0.81399338413386 0.904515607315033 0.852649766068387
"14" 6 0.831159545143462 0.93194749600438 0.874320476484962
"15" 7 0.845700530748477 0.9555548404385 0.892874819861988
"16" 8 0.858397365945574 0.97661375342319 0.90912118858953
"17" 9 0.869604762802108 0.995527133289133 0.923586835555922
"18" 10 0.879629785428281 1.01275109891478 0.936635248210288
"19" 11 0.888667276997996 1.02853762479514 0.948527901738784
"20" 12 0.897034157327747 1.04331449540326 0.959459336619524
"21" 13 0.904598982150366 1.05706908919202 0.969578312724957
"22" 14 0.911678960822962 1.07001615987256 0.979001195906641
"23" 15 0.918247489869972 1.08224996026197 0.987820771582233
"24" 16 0.924395511225145 1.09374791061254 0.996112243446773
"25" 17 0.930185419514471 1.10482130833268 1.00393743332488
"26" 18 0.935590104235949 1.11548143789824 1.01134779405453
"27" 19 0.940716477817373 1.1255345640373 1.01838661717513
"28" 20 0.945595903689089 1.13516904404978 1.02509068103417
"29" 21 0.950209996905267 1.14442722383977 1.03149150163027
"30" 22 0.954651395882178 1.15328521329904 1.03761629603879
"31" 23 0.958865318197014 1.16191059216405 1.04348873434357
"32" 24 0.96292270112833 1.17040953179195 1.04912953355439
"33" 25 0.966815536523901 1.17849209632321 1.05455693182925
"34" 26 0.970540236234557 1.18640499734289 1.05978707088481
"35" 27 0.974124617633624 1.19408377728269 1.06483430717337
"36" 28 0.977559901184019 1.20158559165936 1.06971146720936
"37" 29 0.98089321352953 1.20876527285171 1.07443005868225
"38" 30 0.984093372118402 1.21583437469016 1.07900044625445
"39" 31 0.987205618731139 1.22270702167532 1.08343199891855
"40" 32 0.990197198596498 1.22937276164764 1.08773321427364
"41" 33 0.993110872867702 1.23596494545026 1.09191182393619
"42" 34 0.995941782465642 1.24231217370798 1.09597488342816
"43" 35 0.998658398714467 1.24846705473339 1.09992884921255
"44" 36 1.00135228551125 1.25474435852868 1.10377964502511
"45" 37 1.00393808901163 1.26070156417076 1.10753271924248
"46" 38 1.0064538910975 1.26634806727241 1.11119309470503
"47" 39 1.00890336285375 1.27205848140531 1.11476541215746
"48" 40 1.01127550215656 1.27757414342048 1.11825396826564
"49" 41 1.01363931186676 1.28305940532996 1.12166274900445
"50" 42 1.01595591957126 1.28841447757116 1.12499545907829
"51" 43 1.01814964869839 1.29372694131984 1.12825554792803
"52" 44 1.02030976494719 1.29893006620626 1.13144623278997
"53" 45 1.02241724064038 1.30394323272692 1.13457051919986
"54" 46 1.02449185581306 1.3088684381295 1.13763121927493
"55" 47 1.02647889187027 1.31389112737172 1.14063096805751
"56" 48 1.02842822757802 1.31876446185569 1.14357223816225
"57" 49 1.03035731614179 1.32346416177102 1.1464573529344
"58" 50 1.03228084874072 1.32822318231503 1.14928849829753
"59" 51 1.03410161233081 1.33284351900838 1.15206773344474
"60" 52 1.03593102526273 1.33744192297928 1.15479700050637
"61" 53 1.03771050082531 1.34197722984177 1.15747813330995
"62" 54 1.03946708314595 1.34643312391473 1.16011286533303
"63" 55 1.04116806120843 1.35088849869821 1.16270283693663
"64" 56 1.04288747376722 1.35524336908682 1.16524960195623
