"T" "IC_low" "IC_up" "x_ML"
"1" 1.1 0.769166864893148 0.789242734711613 0.778169772995714
"2" 1.2 0.778151032697963 0.803800966293112 0.789673222728341
"3" 1.3 0.786657974806003 0.817363784564408 0.800467493165675
"4" 1.4 0.794747185427549 0.830064210937626 0.810646146097008
"5" 1.5 0.802454014700036 0.842027451936726 0.820284734211525
"6" 1.6 0.809850877802293 0.853332467810305 0.829445216810851
"7" 1.7 0.816935674386861 0.864048989386994 0.838179088401265
"8" 1.8 0.823738100615502 0.87426981297356 0.846529648086564
"9" 1.9 0.830297593905289 0.884021007229098 0.854533679784455
"10" 2 0.836617070342137 0.893353644854388 0.862222718826473
"11" 3 0.890392722939546 0.970164777175065 0.926417662217245
"12" 4 0.93272005683688 1.0285846274314 0.975865335380786
"13" 5 0.967788530983532 1.07671697030808 1.01661690552895
"14" 6 0.998000889319466 1.11815600591765 1.05155544325515
"15" 7 1.02450669198963 1.15484713906875 1.08229982527462
"16" 8 1.04825707012184 1.18804489060128 1.10985753868815
"17" 9 1.06981893739969 1.21853949913291 1.1349017479523
"18" 10 1.08960329217769 1.24678269544703 1.15790635028672
"19" 11 1.10784643977093 1.27346091489031 1.17921860886695
"20" 12 1.1247265232621 1.29847285430656 1.19910121003402
"21" 13 1.1403983910359 1.32228883452774 1.21775806332441
"22" 14 1.15522788843226 1.34507802477819 1.23535088124908
"23" 15 1.16917541887537 1.36692168419222 1.25201024932986
"24" 16 1.18227860435563 1.38770848469545 1.26784325823185
"25" 17 1.19471784159367 1.40766155609014 1.28293891123271
"26" 18 1.20663692305182 1.42702641199763 1.29737204664892
"27" 19 1.21800946379063 1.44575096943214 1.31120624192743
"28" 20 1.22882169778464 1.46387918958969 1.32449600284123
"29" 21 1.23921479771488 1.48162567002801 1.33728844031131
"30" 22 1.24920750849545 1.49879287240023 1.34962457318928
"31" 23 1.25884959272547 1.51555824251089 1.36154035345781
"32" 24 1.26806882015572 1.53175503476288 1.37306748236045
"33" 25 1.27695008206997 1.54762637500132 1.38423406693965
"34" 26 1.28560414888806 1.56322581484767 1.39506515326031
"35" 27 1.29395103558282 1.57831758590766 1.40558316328446
"36" 28 1.30209315542591 1.59310493439118 1.41580825569482
"37" 29 1.30987976437405 1.60765452758189 1.42575862612334
"38" 30 1.31742150312853 1.62192617682109 1.43545075867948
"39" 31 1.32475878981356 1.63584175154398 1.44489963802284
"40" 32 1.33197575821571 1.64942311016978 1.45411892923105
"41" 33 1.33889497071727 1.66281151004192 1.46312113119775
"42" 34 1.34571073544255 1.67610726930492 1.47191770813352
"43" 35 1.35237117775383 1.68905054917928 1.4805192028417
"44" 36 1.35873526898075 1.70184900905002 1.48893533473953
"45" 37 1.36508675272445 1.71450940080183 1.49717508504187
"46" 38 1.37120786326747 1.72677578062997 1.50524677108759
"47" 39 1.37715898998685 1.73897758040551 1.51315811143964
"48" 40 1.38301380253855 1.75091701804678 1.52091628310922
"49" 41 1.38868362317478 1.76278227975061 1.52852797202869
"50" 42 1.39433484832303 1.774507382737 1.53599941771365
"51" 43 1.39980096091966 1.78600466575419 1.54333645290455
"52" 44 1.40517148468136 1.7973238649688 1.55054453885508
"53" 45 1.41043207143405 1.80850167452373 1.55762879683267
"54" 46 1.41555958673047 1.819615126493 1.56459403631226
"55" 47 1.42070173663567 1.83065425533481 1.5714447802744
"56" 48 1.42575264918565 1.84149212509547 1.57818528795978
"57" 49 1.4306845044597 1.85209458586706 1.58481957538346
"58" 50 1.43550013806209 1.86255468920994 1.5913514338701
"59" 51 1.44019839347884 1.8728745855117 1.59778444683672
"60" 52 1.44482625369622 1.88318758081334 1.60412200501957
"61" 53 1.44931923147394 1.89335742730647 1.61036732031624
"62" 54 1.4537675593071 1.9035292017451 1.61652343839268
"63" 55 1.45813693517461 1.91361885418261 1.62259325018586
"64" 56 1.46253033013832 1.9233423842163 1.62857950241714
"65" 57 1.46682736587684 1.93312451114304 1.63448480721739
"66" 58 1.47095753296582 1.94273257295324 1.6403116509532
"67" 59 1.47502808041275 1.95216873274813 1.64606240233287
"68" 60 1.47909111356235 1.96176750022684 1.65173931986227
"69" 61 1.48306240944257 1.97111946626461 1.65734455871251
"70" 62 1.48697279081398 1.98029372729941 1.66288017705468
"71" 63 1.49084197760287 1.98951492729526 1.66834814191092
"72" 64 1.4946971739022 1.99846885164094 1.67375033456578
"73" 65 1.49847627312828 2.00755120174325 1.67908855557721
"74" 66 1.5022234140658 2.01644932094954 1.68436452942252
"75" 67 1.50585461458642 2.02518864424554 1.689579908811
"76" 68 1.50949489848147 2.03380931494152 1.69473627869162
"77" 69 1.51301204501931 2.04244993217978 1.69983515998169
"78" 70 1.51653287205516 2.05108141528157 1.70487801303945
"79" 71 1.51989353881934 2.05962047063604 1.70986624090169
"80" 72 1.52335629875618 2.06816036571671 1.71480119230536
"81" 73 1.52672198046478 2.07664001553642 1.71968416451035
"82" 74 1.53001480455933 2.08483737034303 1.72451640593901
"83" 75 1.53333569329504 2.09312117510125 1.72929911864668
"84" 76 1.53656915163162 2.10135395154055 1.73403346063614
"85" 77 1.53988147588598 2.10957781193905 1.73872054802771
"86" 78 1.54308896379259 2.11755534179298 1.74336145709581
"87" 79 1.54626200971032 2.12543828032443 1.7479572261817
"88" 80 1.54944742552928 2.13334616325371 1.75250885749156
"89" 81 1.5525123507492 2.14128594712957 1.75701731878797
"90" 82 1.55557704017033 2.14911160631648 1.76148354498235
"91" 83 1.55859424606166 2.15703863067394 1.76590843963545
"92" 84 1.56161476890986 2.16474776929191 1.77029287637204
"93" 85 1.56459703195444 2.17247171356911 1.77463770021576
"94" 86 1.56761588535729 2.18005058510275 1.77894372884957
"95" 87 1.57061718488078 2.18758764332082 1.78321175380662
"96" 88 1.57345121789433 2.19511713611008 1.78744254159627
"97" 89 1.57628598789917 2.20261873390596 1.79163683476943
"98" 90 1.57908986587918 2.21001912857289 1.79579535292706
"99" 91 1.58187045573812 2.21734673552538 1.79991879367564
"100" 92 1.58462607044168 2.22478862568148 1.80400783353277
"101" 93 1.58739645533883 2.23213909266077 1.80806312878605
"102" 94 1.59012737678018 2.23957017264818 1.81208531630828
"103" 95 1.59280850453028 2.24676458654994 1.81607501433135
"104" 96 1.59541522198145 2.25391456567805 1.82003282318166
"105" 97 1.59799011165842 2.26095943903433 1.82395932597908
"106" 98 1.60055819393118 2.26815872437879 1.82785508930177
"107" 99 1.60318725242582 2.27506773321674 1.83172066381881
"108" 100 1.60569098033473 2.28193263271106 1.83555658489254
"109" 101 1.60819668830235 2.28884151423879 1.83936337315224
"110" 102 1.6106708259049 2.29580698298585 1.84314153504098
"111" 103 1.61319864741403 2.30264794298109 1.84689156333691
"112" 104 1.61563943050929 2.30954570901074 1.85061393765063
"113" 105 1.61805609456044 2.31639276364935 1.85430912489981
"114" 106 1.62044666562902 2.32331896689818 1.85797757976239
"115" 107 1.62284082315369 2.33001768124816 1.86161974510947
"116" 108 1.62526670743843 2.33673213329541 1.86523605241898
"117" 109 1.62763258695793 2.34347099689407 1.86882692217128
"118" 110 1.629964358742 2.35006675837888 1.87239276422736
"119" 111 1.63225713259588 2.35657215845694 1.87593397819089
"120" 112 1.6345388914024 2.36286168040741 1.87945095375469
"121" 113 1.63683279007989 2.36932637182179 1.88294407103253
"122" 114 1.6391246506855 2.37574595570418 1.88641370087702
"123" 115 1.64137762466993 2.38221482343597 1.88986020518427
"124" 116 1.64358698541556 2.38859250547382 1.89328393718591
"125" 117 1.64581834857998 2.39485326037554 1.89668524172925
"126" 118 1.64799440970589 2.40129706953672 1.900064455546
"127" 119 1.65016190124034 2.4074867624808 1.9034219075102
"128" 120 1.65235447029039 2.41378619002353 1.90675791888592
"129" 121 1.65449173918648 2.41982526574816 1.91007280356502
"130" 122 1.6566016677205 2.42590306172532 1.91336686829574
"131" 123 1.65877329222869 2.43214481290888 1.91664041290231
"132" 124 1.66081981403614 2.43832384079102 1.91989373049608
"133" 125 1.66294632323922 2.44451803664884 1.92312710767858
"134" 126 1.66506679965931 2.45074667632684 1.92634082473686
"135" 127 1.66713505292055 2.45677163805656 1.92953515583155
"136" 128 1.66915976347837 2.46264899885728 1.9327103691777
"137" 129 1.67119971322078 2.46864066308482 1.93586672721912
"138" 130 1.67321617300223 2.47450320648853 1.93900448679617
"139" 131 1.67514853896182 2.48049783928956 1.94212389930746
"140" 132 1.6771792913686 2.48614712322091 1.94522521086571
"141" 133 1.67910469638165 2.49205224426814 1.94830866244797
"142" 134 1.68098479486969 2.49794179610625 1.95137449004049
"143" 135 1.68294158722217 2.50372559921639 1.95442292477846
"144" 136 1.68492291749735 2.5096718025856 1.95745419308079
"145" 137 1.68684191215478 2.51556712025992 1.9604685167803
"146" 138 1.68875938546594 2.52127231138704 1.96346611324926
"147" 139 1.69063352453418 2.5270277920513 1.96644719552065
"148" 140 1.69253146980349 2.5327672296087 1.96941197240537
"149" 141 1.69435193396086 2.5385165171464 1.97236064860532
